timestamp,emotion
0.0,No face detected
0.03336666666666667,No face detected
0.06673333333333334,No face detected
0.10010000000000001,No face detected
0.13346666666666668,No face detected
0.16683333333333333,No face detected
0.20020000000000002,No face detected
0.23356666666666667,No face detected
0.26693333333333336,No face detected
0.3003,No face detected
0.33366666666666667,No face detected
0.3670333333333333,No face detected
0.40040000000000003,No face detected
0.4337666666666667,Surprised
0.46713333333333334,Surprised
0.5005000000000001,Surprised
0.5338666666666667,Surprised
0.5672333333333334,Surprised
0.6006,Fearful
0.6339666666666667,Neutral
0.6673333333333333,Surprised
0.7007,Surprised
0.7340666666666666,Surprised
0.7674333333333333,Surprised
0.8008000000000001,No face detected
0.8341666666666667,No face detected
0.8675333333333334,Happy
0.9009,Happy
0.9342666666666667,No face detected
0.9676333333333333,Happy
1.0010000000000001,Happy
1.0343666666666667,Happy
1.0677333333333334,Happy
1.1011,Happy
1.1344666666666667,No face detected
1.1678333333333333,Happy
1.2012,No face detected
1.2345666666666666,No face detected
1.2679333333333334,No face detected
1.3013000000000001,Happy
1.3346666666666667,Happy
1.3680333333333334,Happy
1.4014,Happy
1.4347666666666667,Happy
1.4347666666666667,Happy
1.4681333333333333,No face detected
1.5015,No face detected
1.5348666666666666,No face detected
1.5682333333333334,No face detected
1.6016000000000001,No face detected
1.6349666666666667,No face detected
1.6683333333333334,No face detected
1.7017,Happy
1.7350666666666668,No face detected
1.7684333333333333,Happy
1.7684333333333333,Happy
1.8018,Happy
1.8351666666666666,Happy
1.8685333333333334,No face detected
1.9019,No face detected
1.9352666666666667,No face detected
1.9686333333333335,Happy
2.0020000000000002,Happy
2.0353666666666665,Happy
2.0687333333333333,Happy
2.0687333333333333,Happy
2.1021,Happy
2.135466666666667,Happy
2.168833333333333,Happy
2.2022,No face detected
2.2355666666666667,Happy
2.2689333333333335,Neutral
2.3023000000000002,Surprised
2.3356666666666666,Surprised
2.3690333333333333,Surprised
2.4024,Surprised
2.435766666666667,Surprised
2.469133333333333,Surprised
2.5025,Surprised
2.5358666666666667,Surprised
2.5692333333333335,Surprised
2.6026000000000002,Surprised
2.6359666666666666,Surprised
2.6693333333333333,Surprised
2.7027,Surprised
2.736066666666667,Surprised
2.769433333333333,Surprised
2.8028,Surprised
2.8361666666666667,Surprised
2.8695333333333335,Surprised
2.9029000000000003,Surprised
2.9362666666666666,Surprised
2.9696333333333333,Surprised
3.003,Surprised
3.036366666666667,Surprised
3.069733333333333,Surprised
3.1031,Surprised
3.1364666666666667,Surprised
3.1698333333333335,Surprised
3.2032000000000003,Surprised
3.2365666666666666,Surprised
3.2365666666666666,Happy
